world_rank,institution,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,year
115,Korea University,South Korea,0.0088,1.0,0.1007,1.0,0.1712,0.4141,0.3946,0.2723,0.0287,0.1031,2015
116,University of Barcelona,Spain,0.0,1.0,0.3975,1.0,0.0601,0.1081,0.1134,0.0821,0.246,0.1031,2015
117,Lund University,Sweden,0.0044,0.3689,0.8216,0.7742,0.0841,0.1354,0.0641,0.0591,1.0,0.1024,2015
118,Michigan State University,USA,0.2588,0.3033,0.2845,1.0,0.0871,0.1232,0.0789,0.1101,0.1552,0.1022,2015
119,Ghent University,Belgium,0.0044,0.3333,0.5795,0.6728,0.0831,0.1495,0.0826,0.1181,0.1023,0.102,2015
120,Rice University,USA,0.2632,0.1393,0.2827,0.4332,0.2543,0.1505,0.0715,0.1291,0.0862,0.102,2015
121,Baylor College of Medicine,USA,0.2675,1.0,1.0,1.0,0.1121,0.0404,0.1233,0.043,0.2276,0.1015,2015
122,Aarhus University,Denmark,0.0044,0.8443,0.2898,0.4839,0.0901,0.0808,0.1233,0.0941,0.1759,0.1006,2015
123,University of Bristol,United Kingdom,0.0307,0.5273,0.3445,0.3364,0.0911,0.0687,0.0999,0.1051,0.3839,0.0995,2015
124,Uppsala University,Sweden,0.0088,0.1967,0.5654,0.318,0.0941,0.0747,0.1134,0.1021,1.0,0.0991,2015
125,Nagoya University,Japan,0.0351,0.1038,0.5671,0.2396,0.1371,0.1404,0.1788,0.1942,0.0885,0.0991,2015
126,Royal Institute of Technology,Sweden,0.0132,0.541,0.0512,0.4793,0.2202,0.302,0.3946,0.3173,0.9149,0.0986,2015
127,University of Colorado Denver,USA,0.2719,1.0,1.0,0.6406,0.1341,0.1101,0.1566,0.0651,0.0816,0.0975,2015
128,University of Glasgow,United Kingdom,0.0351,0.6366,0.1555,1.0,0.1221,0.1444,0.0999,0.0861,0.4609,0.097,2015
129,VU University Amsterdam,Netherlands,0.0219,1.0,0.6784,1.0,0.0781,0.1202,0.0826,0.0781,1.0,0.0968,2015
130,University of New South Wales,Australia,0.0132,0.4809,0.1219,1.0,0.0891,0.1778,0.1233,0.1632,0.1793,0.0949,2015
131,Paris Diderot University - Paris 7,France,0.0219,0.3443,1.0,0.3088,0.1041,0.0556,0.1406,0.0961,0.554,0.0949,2015
132,University of São Paulo,Brazil,0.0,0.8087,0.1237,1.0,0.0581,0.1869,0.1665,0.1632,0.8149,0.0945,2015
